,exchange,combo,pom,eod
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'CNXENERGY']",0.7435897435897436,0.717948717948718
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'CNXFMCG']",0.7564102564102564,0.8076923076923077
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'CNXINFRA']",0.7307692307692307,0.7435897435897436
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'CNXIT']",0.7307692307692307,0.7948717948717948
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'CNXMEDIA']",0.7564102564102564,0.782051282051282
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'CNXREALTY']",0.7564102564102564,0.782051282051282
0,NSE,"['CNXAUTO', 'CNXCONSUM', 'NSEBANK']",0.759493670886076,0.7215189873417721
0,NSE,"['CNXAUTO', 'CNXENERGY', 'CNXFMCG']",0.7307692307692307,0.8205128205128205
0,NSE,"['CNXAUTO', 'CNXENERGY', 'CNXINFRA']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXAUTO', 'CNXENERGY', 'CNXIT']",0.7307692307692307,0.7692307692307693
0,NSE,"['CNXAUTO', 'CNXENERGY', 'CNXMEDIA']",0.717948717948718,0.8461538461538461
0,NSE,"['CNXAUTO', 'CNXENERGY', 'CNXREALTY']",0.717948717948718,0.8461538461538461
0,NSE,"['CNXAUTO', 'CNXENERGY', 'NSEBANK']",0.6962025316455697,0.7088607594936709
0,NSE,"['CNXAUTO', 'CNXFMCG', 'CNXINFRA']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXAUTO', 'CNXFMCG', 'CNXIT']",0.7564102564102564,0.717948717948718
0,NSE,"['CNXAUTO', 'CNXFMCG', 'CNXMEDIA']",0.8461538461538461,0.782051282051282
0,NSE,"['CNXAUTO', 'CNXFMCG', 'CNXREALTY']",0.782051282051282,0.717948717948718
0,NSE,"['CNXAUTO', 'CNXFMCG', 'NSEBANK']",0.7215189873417721,0.6708860759493671
0,NSE,"['CNXAUTO', 'CNXINFRA', 'CNXIT']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXAUTO', 'CNXINFRA', 'CNXMEDIA']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXAUTO', 'CNXINFRA', 'CNXREALTY']",0.782051282051282,0.8205128205128205
0,NSE,"['CNXAUTO', 'CNXINFRA', 'NSEBANK']",0.7721518987341772,0.810126582278481
0,NSE,"['CNXAUTO', 'CNXIT', 'CNXMEDIA']",0.7692307692307693,0.7564102564102564
0,NSE,"['CNXAUTO', 'CNXIT', 'CNXREALTY']",0.7692307692307693,0.7564102564102564
0,NSE,"['CNXAUTO', 'CNXIT', 'NSEBANK']",0.7215189873417721,0.7341772151898734
0,NSE,"['CNXAUTO', 'CNXMEDIA', 'CNXREALTY']",0.8333333333333334,0.782051282051282
0,NSE,"['CNXAUTO', 'CNXMEDIA', 'NSEBANK']",0.7341772151898734,0.7721518987341772
0,NSE,"['CNXAUTO', 'CNXREALTY', 'NSEBANK']",0.7341772151898734,0.7721518987341772
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'CNXENERGY']",0.782051282051282,0.7692307692307693
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'CNXFMCG']",0.7692307692307693,0.7564102564102564
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'CNXINFRA']",0.7564102564102564,0.782051282051282
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'CNXIT']",0.717948717948718,0.717948717948718
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'CNXMEDIA']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'CNXREALTY']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXCONSUM', 'NSEBANK']",0.6835443037974683,0.7341772151898734
0,NSE,"['CNXCMDT', 'CNXENERGY', 'CNXFMCG']",0.6794871794871795,0.7948717948717948
0,NSE,"['CNXCMDT', 'CNXENERGY', 'CNXINFRA']",0.7435897435897436,0.8461538461538461
0,NSE,"['CNXCMDT', 'CNXENERGY', 'CNXIT']",0.7564102564102564,0.7692307692307693
0,NSE,"['CNXCMDT', 'CNXENERGY', 'CNXMEDIA']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXENERGY', 'CNXREALTY']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXENERGY', 'NSEBANK']",0.759493670886076,0.7468354430379747
0,NSE,"['CNXCMDT', 'CNXFMCG', 'CNXINFRA']",0.782051282051282,0.7692307692307693
0,NSE,"['CNXCMDT', 'CNXFMCG', 'CNXIT']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXFMCG', 'CNXMEDIA']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXFMCG', 'CNXREALTY']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXFMCG', 'NSEBANK']",0.7468354430379747,0.7341772151898734
0,NSE,"['CNXCMDT', 'CNXINFRA', 'CNXIT']",0.7948717948717948,0.6666666666666666
0,NSE,"['CNXCMDT', 'CNXINFRA', 'CNXMEDIA']",0.782051282051282,0.8076923076923077
0,NSE,"['CNXCMDT', 'CNXINFRA', 'CNXREALTY']",0.782051282051282,0.8076923076923077
0,NSE,"['CNXCMDT', 'CNXINFRA', 'NSEBANK']",0.7974683544303798,0.7721518987341772
0,NSE,"['CNXCMDT', 'CNXIT', 'CNXMEDIA']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXIT', 'CNXREALTY']",0.8076923076923077,0.8205128205128205
0,NSE,"['CNXCMDT', 'CNXIT', 'NSEBANK']",0.6582278481012658,0.6835443037974683
